contacto_id,fecha_contacto,cliente_id,canal,producto,monto_ofertado,score_modelo,resultado,comentario
67,2025-03-18T00:00:00.000000000,100565,tlv ,TC,9507.69,0.3949,SIN_CONTACTO,mail abierto
68,2025-05-19T00:00:00.000000000,100172,sms,Extracash,3005.08,0.2719,NO_INTERESADO,no contesta
69,2025-04-03T00:00:00.000000000,100110,tlv ,PP,7853.78,0.211,VENTA,solicita llamada
70,2025-02-11T00:00:00.000000000,100228,TLV,Seguro,8761.08,0.4241,NO_INTERESADO,mail abierto
71,2025-06-23T00:00:00.000000000,100163,SMS,PP,27086.96,0.24,NO_CALIFICA,numero invalido
72,2025-01-10T00:00:00.000000000,100465,sms,PP,6468.17,0.2474,NO_CALIFICA,numero invalido
73,2025-01-23T00:00:00.000000000,100209,SMS,PP,5371.76,0.2572,NO_INTERESADO,numero invalido
74,2025-01-04T00:00:00.000000000,100043,TLV,TC,19540.5,0.7127,SIN_CONTACTO,numero invalido
75,2025-05-31T00:00:00.000000000,100242,SMS,PP,4787.98,0.1222,SIN_CONTACTO,solicita llamada
76,2025-03-28T00:00:00.000000000,100007,TLV,TC,9775.47,0.1875,REBOTE,numero invalido
77,2025-04-16T00:00:00.000000000,100092,APP,Extracash,13820.11,0.1836,NO_INTERESADO,mail abierto
78,2025-06-02T00:00:00.000000000,100248,HTML,PP,9798.23,0.0973,VENTA,numero invalido
79,2025-04-27T00:00:00.000000000,100528,HTML,TC,3702.62,0.2893,NO_CALIFICA,mail abierto
80,2025-04-20T00:00:00.000000000,100081,HTML,Seguro,11769.72,0.1159,VENTA,cliente interesado
81,2025-01-19T00:00:00.000000000,100582,APP,TC,10656.58,0.3932,NO_INTERESADO,solicita llamada
82,2025-06-02T00:00:00.000000000,100180,HTML,Seguro,4032.78,0.2621,SIN_CONTACTO,mail abierto
83,2025-01-31T00:00:00.000000000,100479,SMS,Extracash,20135.83,0.2615,VENTA,solicita llamada
84,2025-01-14T00:00:00.000000000,100535,SMS,TC,12193.11,0.4276,NO_INTERESADO,cliente interesado
85,2025-01-22T00:00:00.000000000,100562,APP,PP,13730.38,0.2265,NO_CALIFICA,no contesta
86,2025-05-07T00:00:00.000000000,100175,TLV,Extracash,11187.04,0.0572,SIN_CONTACTO,mail abierto
87,2025-06-02T00:00:00.000000000,100406,TLV,Extracash,8066.63,0.2558,NO_INTERESADO,numero invalido
88,2025-06-02T00:00:00.000000000,100373,TLV,TC,25782.43,0.5191,SIN_CONTACTO,cliente interesado
89,2025-03-23T00:00:00.000000000,100139,APP,TC,7118.78,0.3128,NO_INTERESADO,numero invalido
90,2025-01-10T00:00:00.000000000,100017,TLV,PP,3978.28,0.5734,SIN_CONTACTO,sin respuesta
91,2025-03-13T00:00:00.000000000,100147,HTML,PP,9041.67,0.062,VENTA,numero invalido
92,2025-03-09T00:00:00.000000000,100440,HTML,TC,7217.0,0.449,NO_INTERESADO,sin respuesta
93,2025-06-14T00:00:00.000000000,100519,app ,TC,7918.5,0.1536,NO_INTERESADO,sin respuesta
94,2025-05-10T00:00:00.000000000,100301,app ,PP,7387.4,0.2315,VENTA,mail abierto
95,2025-02-28T00:00:00.000000000,100109,APP,TC,5213.03,0.1834,NO_CALIFICA,numero invalido
96,2025-04-15T00:00:00.000000000,100379,HTML,TC,4655.29,0.2016,NO_CALIFICA,no contesta
97,2025-02-14T00:00:00.000000000,100127,HTML,Seguro,10050.32,0.5111,REBOTE,solicita llamada
98,2025-03-23T00:00:00.000000000,100088,sms,PP,12310.89,0.193,NO_INTERESADO,cliente interesado
99,2025-04-06T00:00:00.000000000,100298,SMS,PP,9586.69,0.3511,SIN_CONTACTO,sin respuesta
100,2025-04-16T00:00:00.000000000,100346,APP,PP,3105.01,0.0834,NO_CALIFICA,numero invalido
101,2025-01-16T00:00:00.000000000,100266,SMS,Seguro,4429.57,0.4862,NO_INTERESADO,sin respuesta
102,2025-04-26T00:00:00.000000000,100259,APP,Seguro,11308.23,0.4542,NO_INTERESADO,cliente interesado
103,2025-01-28T00:00:00.000000000,100319,HTML,Extracash,5987.09,0.2583,NO_CALIFICA,cliente interesado
104,2025-03-01T00:00:00.000000000,100022,HTML,PP,7692.07,0.306,SIN_CONTACTO,sin respuesta
105,2025-04-27T00:00:00.000000000,100542,HTML,TC,13546.33,0.4168,NO_INTERESADO,numero invalido
106,2025-01-04T00:00:00.000000000,100527,HTML,PP,10551.37,0.4377,REBOTE,cliente interesado
107,2025-05-13T00:00:00.000000000,100364,SMS,Seguro,2630.98,0.1237,NO_CALIFICA,sin respuesta
108,2025-06-19T00:00:00.000000000,100537,SMS,PP,5162.84,0.5918,NO_INTERESADO,mail abierto
109,2025-02-21T00:00:00.000000000,100103,APP,Extracash,5806.83,0.5193,NO_INTERESADO,numero invalido
110,2025-02-14T00:00:00.000000000,100381,SMS,TC,14999.11,0.2264,SIN_CONTACTO,cliente interesado
111,2025-03-16T00:00:00.000000000,100334,TLV,PP,5126.55,0.2242,NO_INTERESADO,cliente interesado
112,2025-06-03T00:00:00.000000000,100319,app ,TC,6488.13,0.2713,NO_INTERESADO,cliente interesado
113,2025-04-14T00:00:00.000000000,100227,HTML,PP,18069.35,0.1502,REBOTE,mail abierto
114,2025-06-05T00:00:00.000000000,100411,TLV,Extracash,6478.87,0.0614,REBOTE,sin respuesta
115,2025-02-03T00:00:00.000000000,100076,sms,Extracash,18092.05,0.2306,SIN_CONTACTO,numero invalido
116,2025-06-11T00:00:00.000000000,100468,TLV,Seguro,17983.69,0.3012,VENTA,sin respuesta
117,2025-06-30T00:00:00.000000000,100576,APP,TC,9937.75,0.383,SIN_CONTACTO,numero invalido
118,2025-06-12T00:00:00.000000000,100561,tlv ,Seguro,3853.36,0.1392,SIN_CONTACTO,no contesta
119,2025-04-27T00:00:00.000000000,100062,SMS,PP,5881.79,0.1834,NO_CALIFICA,solicita llamada
120,2025-02-07T00:00:00.000000000,100347,APP,TC,8002.68,0.3702,SIN_CONTACTO,sin respuesta
121,2025-04-28T00:00:00.000000000,100555,SMS,PP,5402.86,0.0527,SIN_CONTACTO,solicita llamada
122,2025-04-24T00:00:00.000000000,100001,TLV,PP,10287.98,0.2753,VENTA,solicita llamada
123,2025-05-14T00:00:00.000000000,100555,HTML,PP,24529.39,0.2035,REBOTE,solicita llamada
124,2025-05-20T00:00:00.000000000,100397,TLV,PP,6949.43,0.4851,NO_INTERESADO,sin respuesta
125,2025-02-22T00:00:00.000000000,100308,HTML,Seguro,10126.7,0.3183,NO_INTERESADO,mail abierto
126,2025-03-20T00:00:00.000000000,100204,HTML,Extracash,10849.17,0.0328,REBOTE,solicita llamada
127,2025-04-01T00:00:00.000000000,100390,SMS,TC,17933.13,0.3935,NO_INTERESADO,cliente interesado
128,2025-01-10T00:00:00.000000000,100064,TLV,TC,16891.75,0.4397,NO_CALIFICA,cliente interesado
129,2025-02-10T00:00:00.000000000,100490,TLV,Extracash,20553.2,0.2562,NO_INTERESADO,solicita llamada
130,2025-03-29T00:00:00.000000000,100551,HTML,TC,7451.0,0.3533,NO_INTERESADO,mail abierto
131,2025-06-07T00:00:00.000000000,100267,SMS,TC,5546.01,0.279,SIN_CONTACTO,numero invalido
132,2025-04-04T00:00:00.000000000,100309,SMS,Seguro,10834.48,0.2,NO_INTERESADO,cliente interesado
133,2025-04-26T00:00:00.000000000,100077,TLV,TC,17507.13,0.1324,NO_INTERESADO,cliente interesado
134,2025-05-11T00:00:00.000000000,100272,HTML,Extracash,6825.93,0.3935,SIN_CONTACTO,cliente interesado
135,2025-05-11T00:00:00.000000000,100313,SMS,Extracash,9900.96,0.0643,SIN_CONTACTO,sin respuesta
136,2025-03-12T00:00:00.000000000,100231,HTML,Extracash,16774.3,0.0702,NO_INTERESADO,no contesta
137,2025-03-07T00:00:00.000000000,100040,HTML,Extracash,4265.82,0.3409,VENTA,sin respuesta
138,2025-01-14T00:00:00.000000000,100465,sms,TC,7037.98,0.3452,SIN_CONTACTO,numero invalido
139,2025-01-15T00:00:00.000000000,100544,SMS,PP,21565.93,0.1379,REBOTE,sin respuesta
140,2025-03-30T00:00:00.000000000,100228,SMS,PP,8372.48,0.3491,SIN_CONTACTO,numero invalido
141,2025-04-03T00:00:00.000000000,100188,TLV,Extracash,11208.63,0.1903,REBOTE,mail abierto
142,2025-01-03T00:00:00.000000000,100151,tlv ,PP,11540.71,0.3609,NO_CALIFICA,sin respuesta
143,2025-06-25T00:00:00.000000000,100450,APP,PP,14074.16,0.1296,VENTA,no contesta
144,2025-04-15T00:00:00.000000000,100521,TLV,TC,11136.39,0.1547,NO_INTERESADO,cliente interesado
145,2025-02-24T00:00:00.000000000,100356,HTML,TC,6323.1,0.4011,NO_INTERESADO,no contesta
146,2025-01-22T00:00:00.000000000,100256,SMS,PP,11496.03,0.3505,NO_INTERESADO,numero invalido
147,2025-05-14T00:00:00.000000000,100322,APP,PP,10510.01,0.2665,REBOTE,cliente interesado
148,2025-04-29T00:00:00.000000000,100426,APP,TC,9943.24,0.2541,NO_INTERESADO,numero invalido
149,2025-01-30T00:00:00.000000000,100113,html ,PP,4111.71,0.1687,SIN_CONTACTO,no contesta
150,2025-04-17T00:00:00.000000000,100119,SMS,TC,23537.32,0.3434,NO_CALIFICA,no contesta
151,2025-03-07T00:00:00.000000000,100438,html ,PP,6999.71,0.1385,SIN_CONTACTO,cliente interesado
152,2025-06-12T00:00:00.000000000,100418,SMS,PP,6993.83,0.2376,SIN_CONTACTO,sin respuesta
153,2025-02-22T00:00:00.000000000,100440,APP,Extracash,10492.24,0.1579,REBOTE,sin respuesta
154,2025-02-07T00:00:00.000000000,100321,sms,TC,23091.66,0.19,SIN_CONTACTO,cliente interesado
155,2025-06-26T00:00:00.000000000,100408,SMS,TC,5176.47,0.1656,NO_INTERESADO,numero invalido
156,2025-05-19T00:00:00.000000000,100078,html ,PP,4347.43,0.1832,NO_INTERESADO,sin respuesta
157,2025-01-02T00:00:00.000000000,100387,SMS,TC,6619.14,0.1575,REBOTE,solicita llamada
158,2025-01-08T00:00:00.000000000,100513,APP,Seguro,12310.6,0.504,NO_CALIFICA,solicita llamada
159,2025-05-11T00:00:00.000000000,100149,HTML,PP,9697.65,0.1258,NO_INTERESADO,no contesta
160,2025-02-17T00:00:00.000000000,100024,TLV,PP,14639.27,0.1836,NO_INTERESADO,cliente interesado
161,2025-01-10T00:00:00.000000000,100089,APP,TC,4384.65,0.0825,SIN_CONTACTO,numero invalido
162,2025-03-17T00:00:00.000000000,100055,sms,PP,5372.34,0.3216,NO_INTERESADO,mail abierto
163,2025-06-04T00:00:00.000000000,100201,APP,TC,7036.58,0.5827,REBOTE,no contesta
164,2025-01-15T00:00:00.000000000,100135,SMS,PP,8179.36,0.2727,SIN_CONTACTO,cliente interesado
165,2025-01-18T00:00:00.000000000,100484,tlv ,PP,5158.06,0.3325,SIN_CONTACTO,no contesta
166,2025-02-23T00:00:00.000000000,100195,HTML,TC,12936.62,0.3541,NO_INTERESADO,cliente interesado
167,2025-04-18T00:00:00.000000000,100320,TLV,PP,7373.43,0.1842,SIN_CONTACTO,numero invalido
168,2025-02-20T00:00:00.000000000,100330,SMS,TC,15093.34,0.1556,NO_CALIFICA,solicita llamada
169,2025-06-23T00:00:00.000000000,100309,HTML,TC,2430.01,0.0592,NO_CALIFICA,mail abierto
170,2025-05-12T00:00:00.000000000,100592,HTML,PP,3037.01,0.3948,SIN_CONTACTO,cliente interesado
171,2025-01-28T00:00:00.000000000,100201,TLV,TC,10220.7,0.4199,SIN_CONTACTO,numero invalido
172,2025-02-16T00:00:00.000000000,100354,tlv ,PP,10593.71,0.0677,SIN_CONTACTO,cliente interesado
173,2025-04-20T00:00:00.000000000,100499,SMS,PP,18592.82,0.1834,NO_INTERESADO,cliente interesado
174,2025-02-12T00:00:00.000000000,100078,TLV,TC,5467.18,0.3019,SIN_CONTACTO,sin respuesta
175,2025-06-04T00:00:00.000000000,100067,SMS,TC,6935.59,0.5318,SIN_CONTACTO,numero invalido
176,2025-04-20T00:00:00.000000000,100393,HTML,TC,14558.12,0.431,VENTA,solicita llamada
177,2025-03-01T00:00:00.000000000,100381,SMS,Seguro,27189.65,0.17,SIN_CONTACTO,solicita llamada
178,2025-04-29T00:00:00.000000000,100176,html ,PP,4572.65,0.1335,NO_INTERESADO,cliente interesado
179,2025-05-01T00:00:00.000000000,100251,SMS,Extracash,6597.7,0.6527,VENTA,sin respuesta
180,2025-01-04T00:00:00.000000000,100524,TLV,PP,7445.09,0.2591,NO_INTERESADO,cliente interesado
181,2025-03-28T00:00:00.000000000,100047,HTML,PP,10867.65,0.3726,NO_INTERESADO,sin respuesta
182,2025-05-08T00:00:00.000000000,100407,tlv ,Extracash,17093.69,0.3792,NO_INTERESADO,solicita llamada
183,2025-04-04T00:00:00.000000000,100266,sms,PP,12949.84,0.2554,NO_INTERESADO,cliente interesado
184,2025-03-18T00:00:00.000000000,100481,APP,Seguro,4491.47,0.1001,NO_CALIFICA,sin respuesta
185,2025-05-25T00:00:00.000000000,100377,APP,PP,15700.92,0.0592,NO_INTERESADO,cliente interesado
186,2025-06-16T00:00:00.000000000,100567,TLV,Seguro,5180.16,0.2086,REBOTE,sin respuesta
187,2025-06-21T00:00:00.000000000,100101,HTML,PP,8639.71,0.1456,NO_CALIFICA,mail abierto
188,2025-02-13T00:00:00.000000000,100313,APP,Extracash,3859.34,0.1765,VENTA,solicita llamada
189,2025-01-26T00:00:00.000000000,100391,APP,PP,22521.21,0.0945,REBOTE,no contesta
190,2025-06-14T00:00:00.000000000,100327,SMS,Extracash,12249.95,0.5212,SIN_CONTACTO,cliente interesado
191,2025-02-16T00:00:00.000000000,100462,app ,Extracash,16358.6,0.2212,NO_INTERESADO,sin respuesta
192,2025-04-18T00:00:00.000000000,100120,TLV,Seguro,12079.0,0.2044,NO_INTERESADO,no contesta
193,2025-03-25T00:00:00.000000000,100103,TLV,TC,5383.73,0.3447,NO_CALIFICA,sin respuesta
194,2025-06-08T00:00:00.000000000,100008,SMS,PP,23030.02,0.0736,REBOTE,numero invalido
195,2025-02-03T00:00:00.000000000,100423,TLV,TC,10421.24,0.4892,NO_INTERESADO,numero invalido
196,2025-06-16T00:00:00.000000000,100427,APP,PP,4343.94,0.4188,REBOTE,cliente interesado
197,2025-04-04T00:00:00.000000000,100426,HTML,PP,3497.07,0.3705,SIN_CONTACTO,mail abierto
198,2025-04-08T00:00:00.000000000,100368,SMS,Extracash,16621.91,0.1305,SIN_CONTACTO,numero invalido
199,2025-02-12T00:00:00.000000000,100596,TLV,PP,4228.09,0.4123,NO_INTERESADO,mail abierto
200,2025-04-24T00:00:00.000000000,100168,HTML,Seguro,5780.46,0.3616,VENTA,sin respuesta
201,2025-01-12T00:00:00.000000000,100542,APP,Extracash,18165.8,0.1113,SIN_CONTACTO,numero invalido
202,2025-04-18T00:00:00.000000000,100007,APP,Extracash,11834.4,0.2297,VENTA,sin respuesta
203,2025-06-30T00:00:00.000000000,100558,TLV,TC,12753.5,0.3326,NO_CALIFICA,numero invalido
204,2025-01-29T00:00:00.000000000,100281,app ,Extracash,5335.19,0.2707,NO_INTERESADO,cliente interesado
205,2025-03-17T00:00:00.000000000,100215,sms,Extracash,8293.6,0.3269,SIN_CONTACTO,mail abierto
206,2025-03-28T00:00:00.000000000,100150,HTML,TC,6993.2,0.136,NO_INTERESADO,sin respuesta
207,2025-04-08T00:00:00.000000000,100145,APP,TC,8137.8,0.365,VENTA,numero invalido
208,2025-02-16T00:00:00.000000000,100137,APP,Extracash,15947.38,0.354,REBOTE,numero invalido
209,2025-03-29T00:00:00.000000000,100176,SMS,Seguro,14660.31,0.3573,NO_INTERESADO,mail abierto
210,2025-03-26T00:00:00.000000000,100242,HTML,PP,6752.12,0.3278,NO_INTERESADO,numero invalido
211,2025-06-19T00:00:00.000000000,100360,TLV,Seguro,4436.79,0.1368,SIN_CONTACTO,solicita llamada
212,2025-05-21T00:00:00.000000000,100565,app ,Seguro,11357.88,0.1628,SIN_CONTACTO,solicita llamada
213,2025-02-15T00:00:00.000000000,100262,TLV,PP,4215.07,0.4191,NO_INTERESADO,mail abierto
214,2025-04-03T00:00:00.000000000,100139,html ,TC,13933.98,0.4543,SIN_CONTACTO,numero invalido
215,2025-01-26T00:00:00.000000000,100448,HTML,TC,11483.87,0.606,NO_INTERESADO,numero invalido
216,2025-01-13T00:00:00.000000000,100333,SMS,TC,11058.37,0.2364,SIN_CONTACTO,solicita llamada
217,2025-03-22T00:00:00.000000000,100180,sms,PP,3989.88,0.174,NO_INTERESADO,solicita llamada
218,2025-02-25T00:00:00.000000000,100557,TLV,PP,6941.28,0.2041,NO_INTERESADO,sin respuesta
219,2025-03-10T00:00:00.000000000,100285,tlv ,PP,29324.25,0.3412,NO_CALIFICA,mail abierto
220,2025-06-04T00:00:00.000000000,100315,sms,PP,8945.16,0.2334,NO_INTERESADO,no contesta
221,2025-06-20T00:00:00.000000000,100511,APP,TC,8984.7,0.361,NO_INTERESADO,solicita llamada
222,2025-05-24T00:00:00.000000000,100486,SMS,PP,9331.72,0.1389,SIN_CONTACTO,sin respuesta
223,2025-04-15T00:00:00.000000000,100405,tlv ,TC,17643.56,0.4032,VENTA,mail abierto
224,2025-06-12T00:00:00.000000000,100262,sms,PP,7642.39,0.2104,SIN_CONTACTO,numero invalido
225,2025-05-09T00:00:00.000000000,100288,SMS,Seguro,9322.53,0.2275,SIN_CONTACTO,mail abierto
226,2025-02-18T00:00:00.000000000,100581,TLV,PP,13791.57,0.4283,NO_INTERESADO,solicita llamada
227,2025-05-29T00:00:00.000000000,100405,TLV,PP,7216.13,0.3353,VENTA,sin respuesta
228,2025-01-15T00:00:00.000000000,100091,HTML,PP,12958.52,0.4482,NO_INTERESADO,no contesta
229,2025-01-19T00:00:00.000000000,100231,APP,TC,13763.43,0.3117,SIN_CONTACTO,cliente interesado
230,2025-01-09T00:00:00.000000000,100490,APP,TC,5501.43,0.3335,SIN_CONTACTO,sin respuesta
231,2025-03-18T00:00:00.000000000,100335,html ,Seguro,15197.1,0.3755,SIN_CONTACTO,sin respuesta
232,2025-03-07T00:00:00.000000000,100085,APP,Seguro,8078.48,0.3157,VENTA,no contesta
233,2025-06-11T00:00:00.000000000,100198,SMS,Seguro,10259.88,0.6653,NO_INTERESADO,solicita llamada
234,2025-04-28T00:00:00.000000000,100005,APP,TC,11832.97,0.0646,NO_INTERESADO,numero invalido
235,2025-02-11T00:00:00.000000000,100140,HTML,PP,14318.59,0.1889,SIN_CONTACTO,solicita llamada
236,2025-02-20T00:00:00.000000000,100262,sms,PP,5299.2,0.0723,SIN_CONTACTO,cliente interesado
237,2025-03-30T00:00:00.000000000,100505,HTML,PP,8046.82,0.4732,VENTA,no contesta
238,2025-03-22T00:00:00.000000000,100161,HTML,PP,4474.95,0.3952,VENTA,solicita llamada
239,2025-01-25T00:00:00.000000000,100243,SMS,PP,10212.88,0.1892,SIN_CONTACTO,solicita llamada
240,2025-01-04T00:00:00.000000000,100079,html ,TC,7410.38,0.1458,SIN_CONTACTO,numero invalido
241,2025-03-21T00:00:00.000000000,100160,SMS,PP,27533.91,0.2183,SIN_CONTACTO,sin respuesta
242,2025-03-29T00:00:00.000000000,100590,HTML,Extracash,8171.81,0.3574,REBOTE,cliente interesado
243,2025-01-20T00:00:00.000000000,100551,HTML,Extracash,3840.08,0.548,NO_INTERESADO,solicita llamada
244,2025-06-09T00:00:00.000000000,100576,APP,Extracash,7663.45,0.2882,NO_CALIFICA,mail abierto
245,2025-01-14T00:00:00.000000000,100447,SMS,PP,8090.68,0.0247,SIN_CONTACTO,solicita llamada
246,2025-02-17T00:00:00.000000000,100113,HTML,PP,7262.65,0.2217,NO_INTERESADO,solicita llamada
247,2025-02-08T00:00:00.000000000,100507,APP,PP,3030.54,0.4045,VENTA,mail abierto
248,2025-03-14T00:00:00.000000000,100144,sms,Extracash,7578.09,0.1606,REBOTE,sin respuesta
249,2025-03-07T00:00:00.000000000,100280,APP,PP,5611.3,0.1236,REBOTE,solicita llamada
250,2025-06-20T00:00:00.000000000,100335,APP,TC,5041.08,0.1128,VENTA,cliente interesado
251,2025-04-23T00:00:00.000000000,100223,APP,Extracash,20975.88,0.429,NO_INTERESADO,sin respuesta
252,2025-04-12T00:00:00.000000000,100203,APP,PP,4866.08,0.6854,SIN_CONTACTO,numero invalido
253,2025-04-17T00:00:00.000000000,100240,HTML,Extracash,7382.85,0.411,NO_INTERESADO,solicita llamada
