prestamo_id,fecha_originacion,segmento,monto,plazo_meses,score_crediticio,ingreso_anual,dti,tasa_interes,default,perdida_dado_default
702071,2022-01-02,Retail,8701.07,84,604,43051,0.353,17.6,0,0
719944,2022-01-02,Retail,4683.39,24,811,27142,0.181,9.12,0,0
701707,2022-01-02,Retail,11830.12,60,715,36221,0.114,11.34,0,0
708517,2022-01-02,Retail,6141.38,36,654,38905,0.298,13.61,0,0
710530,2022-01-02,PYME,49665.17,36,746,176526,0.309,10.05,0,0
700097,2022-01-02,Retail,19802.26,60,711,21172,0.182,9.4,1,14319.15
704409,2022-01-02,Retail,11236.35,60,636,40526,0.208,12.97,0,0
710568,2022-01-02,Retail,6985.08,12,662,28563,0.182,13.21,1,5737
716582,2022-01-02,Retail,39379.69,60,698,54389,0.23,12.11,0,0
710332,2022-01-02,Retail,4670.96,84,583,24384,0.424,17.58,1,1195.34
710233,2022-01-02,Retail,17013.84,36,680,47187,0.254,11.27,0,0
707982,2022-01-02,Corporativo,1018776.9,48,628,1441687,0.298,15.37,0,0
715058,2022-01-02,PYME,132473.85,24,600,128629,0.321,16.94,0,0
709700,2022-01-02,Retail,32771.14,36,644,43044,0.188,11.93,0,0
707257,2022-01-02,PYME,27636.74,24,731,175216,0.177,7.24,0,0
706100,2022-01-02,Retail,11052.78,36,747,20111,0.162,8.08,0,0
708114,2022-01-03,Retail,7456.79,120,621,36791,0.273,15.47,1,3115.24
707988,2022-01-03,PYME,77515.74,60,661,159205,0.31,14.53,0,0
713722,2022-01-03,PYME,50283.13,48,699,161065,0.122,10.81,0,0
710254,2022-01-03,PYME,17185.77,36,665,102351,0.233,12.08,0,0
719880,2022-01-03,Retail,21688.49,12,781,44183,0.1,6.25,0,0
701299,2022-01-03,Retail,16970.86,60,618,49924,0.268,14.16,0,0
701822,2022-01-03,Retail,15689.36,36,765,85496,0.242,9.84,0,0
703730,2022-01-03,Corporativo,1771813.51,24,728,1355856,0.166,10.31,0,0
704746,2022-01-03,Retail,19082.16,36,794,30416,0.064,6.5,0,0
713678,2022-01-03,Retail,8312.79,120,641,58319,0.193,15.3,0,0
701371,2022-01-03,Corporativo,1122100.31,120,626,1283667,0.386,15.69,1,124938.67
700460,2022-01-03,Retail,19616.34,60,736,22387,0.133,8.11,0,0
707002,2022-01-03,Retail,32684.68,84,706,32871,0.297,11.36,0,0
704081,2022-01-03,Retail,15058.49,120,715,37743,0.02,9.43,0,0
717409,2022-01-03,PYME,87507,36,621,129460,0.281,14.98,0,0
710686,2022-01-03,PYME,106869.4,120,739,125213,0.135,7.65,0,0
705632,2022-01-03,Retail,24935.63,60,700,29325,0.231,13.37,0,0
716170,2022-01-03,PYME,66930,36,609,56975,0.319,15.61,0,0
714642,2022-01-04,PYME,343313.37,120,660,68861,0.394,14.43,1,270980.95
702814,2022-01-04,Retail,10482.79,120,735,19934,0.23,9.87,0,0
711025,2022-01-04,PYME,166137.93,60,640,107931,0.236,14.87,0,0
707681,2022-01-04,PYME,33889.39,48,688,35041,0.101,10.42,0,0
714696,2022-01-04,Retail,24115.56,24,759,17761,0.13,8.46,0,0
707248,2022-01-04,PYME,81828.35,24,702,140014,0.203,11.22,0,0
709217,2022-01-04,Corporativo,306395.7,12,510,1123969,0.414,20.71,1,94160.12
712835,2022-01-04,Retail,10594.16,60,751,48168,0.265,10.21,0,0
718581,2022-01-04,PYME,45201.17,36,697,272925,0.232,11.81,0,0
707408,2022-01-04,Retail,17329.67,36,682,20376,0.209,9.95,1,7238.38
710976,2022-01-04,Retail,8351.29,12,629,27114,0.166,11.74,0,0
712048,2022-01-04,Retail,7561.04,36,817,15976,0.02,4.49,0,0
702255,2022-01-04,Retail,8737.36,60,754,27330,0.249,8.69,0,0
708372,2022-01-05,Retail,8034.69,24,850,110107,0.02,4.43,0,0
716160,2022-01-05,Retail,20200.97,36,646,17389,0.296,14.93,0,0
712098,2022-01-05,PYME,72851.93,120,462,407070,0.5,19.8,1,51958.43
703900,2022-01-05,Retail,6820.24,60,665,46019,0.38,14.22,0,0
703961,2022-01-05,Retail,36333.48,36,644,63391,0.338,13.43,0,0
712196,2022-01-05,Retail,11935.43,36,511,28321,0.368,19.8,1,7465.96
715095,2022-01-05,Corporativo,854776.08,84,637,832769,0.234,14.01,0,0
714773,2022-01-05,Retail,8526.01,84,638,53911,0.284,13,0,0
718784,2022-01-05,Retail,10283.78,24,620,47364,0.167,12.69,0,0
702168,2022-01-05,Retail,5207.18,12,780,77857,0.192,6.18,0,0
704565,2022-01-05,PYME,82369.05,84,686,446234,0.172,10.64,0,0
710164,2022-01-05,Retail,9872.36,24,669,38869,0.25,12.64,0,0
714303,2022-01-05,Retail,10038.66,36,707,20755,0.179,10.39,0,0
713852,2022-01-05,Retail,7631.54,24,652,12760,0.238,13.76,0,0
714317,2022-01-05,PYME,200115.97,48,645,68898,0.224,12.79,0,0
702716,2022-01-05,Retail,13992.13,48,763,69182,0.204,9.65,0,0
710625,2022-01-05,PYME,112559.23,48,763,184943,0.217,7.84,0,0
705968,2022-01-06,PYME,48549.2,12,682,154653,0.236,10.99,0,0
700528,2022-01-06,PYME,225699.4,24,652,292271,0.192,12.89,0,0
714781,2022-01-06,PYME,113588.84,48,627,211087,0.146,11.79,0,0
715340,2022-01-06,Retail,7512.77,120,775,35691,0.221,8.95,0,0
719642,2022-01-06,Retail,23626.41,48,667,93538,0.165,12.75,0,0
715894,2022-01-06,PYME,145861.43,36,723,142363,0.072,8.66,0,0
710795,2022-01-06,Retail,7854.43,36,739,39949,0.261,9.96,0,0
701789,2022-01-06,Retail,9546.58,48,745,55303,0.252,9.37,0,0
706083,2022-01-06,Retail,20843.03,36,733,16033,0.324,12.47,0,0
705275,2022-01-06,PYME,320680.46,60,669,72444,0.195,13.9,0,0
708549,2022-01-06,PYME,84048.38,36,620,279662,0.305,15.09,1,63436.68
704592,2022-01-06,PYME,174455.96,36,710,115046,0.248,10.35,0,0
701483,2022-01-06,Retail,10935.54,48,617,28129,0.295,13.83,0,0
700254,2022-01-06,Retail,6070.52,36,668,36552,0.211,13.84,0,0
704711,2022-01-06,Retail,41866.85,12,788,60486,0.143,8.16,0,0
715319,2022-01-06,Retail,11248.37,48,613,21237,0.309,15.41,0,0
709209,2022-01-06,PYME,61117.05,36,601,100854,0.257,16.25,0,0
704515,2022-01-06,Retail,16430.25,60,714,31933,0.139,10.72,0,0
708833,2022-01-06,Retail,13758.88,60,756,14735,0.159,8.49,0,0
708749,2022-01-06,Retail,14577.92,48,708,55563,0.241,12,0,0
712113,2022-01-07,Retail,17057.87,24,606,46791,0.156,14.34,0,0
713110,2022-01-07,Retail,13127.04,60,670,25464,0.284,11.78,1,3740.92
717077,2022-01-07,PYME,278775.4,84,781,156363,0.249,8.72,0,0
710721,2022-01-07,Retail,16844.55,36,699,36637,0.207,10.94,0,0
711104,2022-01-07,PYME,128498.01,48,694,224709,0.201,12.32,0,0
719818,2022-01-07,PYME,66191.61,48,698,129658,0.061,11.38,0,0
706422,2022-01-07,PYME,89809.93,24,652,83105,0.232,14.94,0,0
705208,2022-01-07,Retail,8940.54,48,795,27925,0.131,5.99,0,0
708796,2022-01-07,Retail,12457.73,48,635,16898,0.433,16.38,0,0
700099,2022-01-07,Corporativo,1997846.52,36,664,604888,0.145,11.12,0,0
709924,2022-01-07,Retail,18773.72,48,734,18293,0.318,9.91,0,0
713885,2022-01-07,Retail,10314.25,48,654,130633,0.455,15.5,1,7654.16
709709,2022-01-07,Retail,4978.42,12,670,51402,0.234,14.18,0,0
711946,2022-01-07,Retail,10524.03,48,753,14121,0.165,5.94,0,0
701943,2022-01-07,Retail,17412.79,36,808,51489,0.036,4.25,0,0
717700,2022-01-07,PYME,32868.47,24,771,200104,0.039,8,0,0
713288,2022-01-07,Retail,7232.66,36,724,33808,0.111,8.76,0,0
706652,2022-01-07,PYME,71214.25,120,565,531720,0.401,17.87,1,53944.76
704044,2022-01-07,Retail,18157.46,36,657,22483,0.25,12.05,1,7417.89
718701,2022-01-08,PYME,29405.8,36,818,184635,0.075,6.91,0,0
706995,2022-01-08,PYME,41431.6,60,645,190930,0.119,12.52,0,0
714326,2022-01-08,Retail,8283.71,24,626,15509,0.279,12.26,0,0
701980,2022-01-08,PYME,64557.33,36,726,122004,0.054,9.16,0,0
710950,2022-01-08,Retail,29617.99,60,707,32394,0.229,9,0,0
702975,2022-01-08,PYME,45462.99,60,662,212183,0.282,14.55,0,0
713599,2022-01-08,PYME,49315.43,36,614,131581,0.331,14.91,0,0
710381,2022-01-08,Retail,11265.27,36,517,43586,0.249,19.82,1,4920.02
717162,2022-01-08,Retail,7475.65,48,689,28781,0.258,11.56,0,0
707078,2022-01-08,Retail,15887.76,48,723,78978,0.072,7.62,0,0
718323,2022-01-08,Retail,8002.65,36,584,68131,0.338,15.54,0,0
711494,2022-01-08,PYME,253915.04,24,569,87232,0.12,13.43,0,0
711940,2022-01-08,Retail,12192.45,60,647,50674,0.194,12.51,0,0
712312,2022-01-08,Retail,23030.17,84,716,28916,0.062,9.91,0,0
719161,2022-01-08,PYME,96518.05,24,665,277371,0.213,11.59,0,0
716144,2022-01-08,PYME,29037.56,12,555,98022,0.382,16.59,0,0
706486,2022-01-08,Retail,9540.81,12,557,26147,0.245,16.38,1,1197.24
701226,2022-01-08,Retail,8458.73,36,622,43303,0.23,14.37,0,0
712525,2022-01-09,Retail,5831.32,24,749,15953,0.02,8.32,0,0
718339,2022-01-09,Retail,5054.88,60,781,83364,0.23,6.96,0,0
718177,2022-01-09,Retail,9723.95,36,733,21653,0.132,10.74,0,0
718741,2022-01-09,Retail,5414.08,24,647,36887,0.225,13.67,0,0
708873,2022-01-09,PYME,42715.81,12,527,59561,0.213,17.39,0,0
700365,2022-01-09,Retail,8175.32,12,708,48617,0.238,11.36,0,0
703820,2022-01-09,PYME,92603.82,84,712,284804,0.02,10.29,0,0
718776,2022-01-09,Retail,11082.45,48,793,15020,0.057,8.1,0,0
703261,2022-01-09,PYME,64458.9,36,640,40983,0.19,13.22,0,0
712580,2022-01-09,Retail,15275.93,24,779,33297,0.298,8.78,1,2234.11
706882,2022-01-09,Retail,13652.68,60,693,36889,0.022,9.33,0,0
713838,2022-01-09,Retail,10388.89,36,573,23259,0.377,17.69,1,1177.79
702560,2022-01-09,Retail,19207.94,36,791,35760,0.02,5.01,0,0
710234,2022-01-09,PYME,145621.49,48,827,141311,0.149,5.69,0,0
712276,2022-01-09,Corporativo,412246.64,24,689,3729237,0.089,10.66,0,0
705407,2022-01-09,Retail,26361.17,36,650,81676,0.226,12.29,0,0
707543,2022-01-09,Corporativo,1713389.42,60,640,694123,0.168,12.24,0,0
719178,2022-01-10,PYME,121433.05,36,607,106133,0.247,12.47,1,23732.73
710174,2022-01-10,Retail,12542.52,48,692,50536,0.2,11.41,0,0
713041,2022-01-10,Retail,9788.95,36,814,36036,0.052,5.51,0,0
714440,2022-01-10,Retail,8775.97,24,542,62815,0.286,18.49,1,3403.03
702085,2022-01-10,Retail,32318.9,24,658,41405,0.218,14.32,0,0
708964,2022-01-10,Retail,3859.04,84,543,54361,0.467,17.87,0,0
716621,2022-01-10,Retail,9504.42,36,620,46746,0.286,14.25,0,0
715804,2022-01-10,PYME,232741.23,84,700,225911,0.236,14.03,0,0
713257,2022-01-10,PYME,60700.01,60,643,124933,0.265,11.87,0,0
716607,2022-01-10,Retail,8454.34,84,653,56421,0.215,13.56,0,0
717897,2022-01-10,Retail,21025.64,24,806,78985,0.02,6.92,0,0
702169,2022-01-10,Retail,14572.92,60,529,37238,0.25,16.82,0,0
703793,2022-01-10,Retail,17424.12,24,765,16841,0.166,9.96,0,0
708987,2022-01-10,Corporativo,195131.25,36,656,502341,0.392,14.92,0,0
711409,2022-01-11,Retail,5255.54,48,750,17126,0.271,13.07,0,0
713369,2022-01-11,PYME,84944.75,84,748,127213,0.19,11.81,0,0
700516,2022-01-11,Retail,10610.8,36,739,55329,0.096,6.43,0,0
717354,2022-01-11,Retail,27206.5,24,718,30825,0.103,6.42,1,12372.61
711694,2022-01-11,Retail,9311.75,24,807,23495,0.13,5.85,0,0
716120,2022-01-11,Retail,12001.12,60,803,68464,0.157,7.26,0,0
705985,2022-01-11,Retail,11774.72,48,731,53319,0.245,9.23,0,0
700343,2022-01-11,Retail,4575.11,12,614,45934,0.453,16.85,0,0
707972,2022-01-11,Retail,5884.38,24,731,79470,0.058,8.46,0,0
701777,2022-01-11,Retail,7222.45,48,650,57128,0.235,13.31,0,0
717101,2022-01-11,PYME,181584.09,24,778,86996,0.136,6.88,0,0
707317,2022-01-11,Corporativo,1918004.58,36,619,1156370,0.193,14.51,0,0
702694,2022-01-11,PYME,30626.52,36,637,184426,0.217,12.07,0,0
704031,2022-01-11,Retail,26647.46,84,809,44991,0.02,5.28,0,0
707247,2022-01-11,Retail,38065.12,36,734,34990,0.093,8.33,0,0
703766,2022-01-11,Retail,20564.58,36,632,43986,0.317,13.27,0,0
709412,2022-01-11,Retail,6147.22,36,658,37717,0.105,11.35,0,0
707937,2022-01-11,Retail,11534.75,120,666,47323,0.151,12.5,0,0
709116,2022-01-12,Retail,7960.66,120,582,20529,0.232,16.34,0,0
719447,2022-01-12,Retail,9095.34,12,798,84327,0.034,7.29,0,0
703931,2022-01-12,Retail,8344.66,36,704,36568,0.242,11,0,0
715639,2022-01-12,Retail,12115.03,84,743,23785,0.134,8.62,0,0
718380,2022-01-12,Retail,11663.33,36,676,29560,0.249,11.76,0,0
716194,2022-01-12,Retail,9330.75,84,700,30497,0.348,11.08,0,0
715953,2022-01-12,Retail,13392.34,24,745,11003,0.09,10.2,0,0
700598,2022-01-12,Corporativo,248934.52,60,705,800521,0.273,11.12,0,0
711178,2022-01-12,Corporativo,1341488.64,36,660,1034216,0.248,12.98,0,0
714800,2022-01-12,Retail,6616.27,36,700,21488,0.062,10.67,0,0
702984,2022-01-12,Retail,6584.58,48,663,39295,0.234,14.03,0,0
715284,2022-01-12,Retail,4747.75,36,744,93897,0.21,9.33,0,0
707665,2022-01-12,Retail,7288.47,36,635,130212,0.263,14.25,0,0
702270,2022-01-12,PYME,16429.31,12,729,154269,0.404,11.55,0,0
716993,2022-01-13,PYME,195252.32,36,673,150479,0.041,11.1,0,0
701807,2022-01-13,Retail,10249.87,60,600,80640,0.176,14.72,0,0
700911,2022-01-13,PYME,60989.71,24,774,243307,0.232,8.86,0,0
706004,2022-01-13,Retail,17139.99,120,714,78171,0.307,10.73,0,0
712059,2022-01-13,Retail,8882.69,36,697,20216,0.116,10.04,0,0
714061,2022-01-13,Retail,15704.58,48,776,50888,0.211,10.3,0,0
705511,2022-01-13,Retail,14328.96,36,827,62672,0.138,4.31,0,0
718044,2022-01-13,PYME,137731.15,36,695,111283,0.124,10.22,0,0
712200,2022-01-13,PYME,92636.27,36,663,286893,0.4,13.06,0,0
709566,2022-01-13,Retail,10544.23,84,746,29643,0.165,8.5,0,0
715140,2022-01-13,Retail,23132.5,36,574,49864,0.19,15.35,0,0
714737,2022-01-13,Retail,4849.03,36,656,29525,0.406,14.29,0,0
711891,2022-01-13,Retail,12406.87,48,703,20856,0.289,12.45,0,0
712238,2022-01-13,Corporativo,566321.47,36,704,1093265,0.195,11.41,0,0
709885,2022-01-13,PYME,10068.85,36,652,172604,0.215,13.46,0,0
716000,2022-01-13,PYME,52583.32,48,792,209559,0.033,6.35,0,0
718141,2022-01-13,Retail,12062.93,60,741,26016,0.181,10.36,0,0
701228,2022-01-13,Corporativo,939191.82,36,623,1662408,0.246,15.07,0,0
707692,2022-01-13,Retail,11126.97,24,802,13618,0.061,6.34,0,0
700869,2022-01-13,Retail,29902.44,84,653,27499,0.257,11.71,0,0
719976,2022-01-13,PYME,48733.73,48,708,89605,0.244,12.64,0,0
708362,2022-01-13,Retail,14851,12,726,25956,0.02,9.42,0,0
719605,2022-01-13,Retail,17933.49,48,729,21243,0.025,7.57,0,0
714256,2022-01-13,Retail,10800.76,48,750,34704,0.22,12.21,0,0
710291,2022-01-14,PYME,164674.79,36,819,132500,0.06,6.11,0,0
711029,2022-01-14,Corporativo,5724501.15,36,727,947344,0.278,11.58,0,0
718273,2022-01-14,Retail,7241.34,84,775,48567,0.152,9.71,0,0
702449,2022-01-14,Retail,11367.76,12,745,30271,0.19,8.14,0,0
719622,2022-01-14,PYME,62730.19,12,850,289640,0.02,4.84,0,0
712174,2022-01-14,Corporativo,621438.79,84,678,1166889,0.173,12.41,0,0
712247,2022-01-14,PYME,112336.79,48,616,94934,0.317,14.92,0,0
700308,2022-01-14,Retail,35286.8,60,675,33592,0.208,11.3,0,0
702218,2022-01-14,Corporativo,247757.81,36,710,1087097,0.228,10.9,0,0
711750,2022-01-14,PYME,144459.61,36,734,224782,0.106,11.09,0,0
717518,2022-01-14,Retail,12735.78,48,582,92304,0.265,14.08,0,0
700809,2022-01-14,Corporativo,5065869.57,120,631,1447527,0.106,11,0,0
716382,2022-01-14,PYME,45566.43,36,638,181839,0.31,13.88,1,16515.54
701883,2022-01-14,PYME,72572.28,120,724,105406,0.255,11.85,0,0
703686,2022-01-14,Retail,11129.8,12,686,43124,0.119,10.22,0,0
705627,2022-01-14,PYME,111751.62,84,587,299961,0.34,15.79,0,0
707411,2022-01-14,PYME,324789.84,48,632,343276,0.332,13.58,0,0
709790,2022-01-14,Retail,7601.52,12,694,66268,0.233,12.1,0,0
717964,2022-01-15,Retail,6720.9,60,741,63973,0.263,9.75,0,0
718265,2022-01-15,PYME,162682.41,48,540,180397,0.405,17.16,1,97427.98
701727,2022-01-15,PYME,356218.2,60,629,122995,0.229,13.49,0,0
713880,2022-01-15,PYME,303556.77,36,728,101358,0.213,8.92,0,0
711780,2022-01-15,Retail,11518.69,48,834,69126,0.043,5.41,0,0
701514,2022-01-15,PYME,57237.94,36,757,124908,0.141,8.61,0,0
700443,2022-01-15,Retail,13291.32,120,672,57838,0.196,11.73,0,0
702712,2022-01-15,Retail,11322.45,36,555,33087,0.108,13.57,0,0
712143,2022-01-15,Retail,21111.05,60,694,27027,0.231,12.41,0,0
713221,2022-01-15,PYME,72404.94,84,695,217684,0.153,13.3,0,0
713932,2022-01-15,Retail,20975.04,24,647,56176,0.145,10.43,0,0
719088,2022-01-15,Retail,24952.57,24,824,27215,0.046,4.76,0,0
707841,2022-01-15,Retail,5595.66,24,820,44519,0.078,3.41,0,0
704767,2022-01-15,Retail,45396.38,48,626,18549,0.15,14.37,0,0
708328,2022-01-15,PYME,23102.08,12,706,141506,0.39,12.57,0,0
716311,2022-01-16,PYME,137264.73,48,714,254832,0.265,11.13,0,0
711690,2022-01-16,Retail,10704.15,36,674,29941,0.245,12.96,0,0
717980,2022-01-16,Corporativo,724735.42,24,766,4540472,0.126,8.8,0,0
718371,2022-01-16,Retail,14702.56,24,496,26319,0.379,20.31,1,7368.88
710715,2022-01-16,Retail,6267.57,36,850,72763,0.02,3.95,0,0
705804,2022-01-16,Retail,14429.61,36,691,40220,0.308,12.41,0,0
703481,2022-01-16,PYME,51923.92,60,772,299973,0.238,8.55,0,0
703153,2022-01-16,Retail,5481.16,36,598,19093,0.356,16.15,0,0
718270,2022-01-16,Retail,8334.19,12,711,34952,0.107,11.7,0,0
711794,2022-01-16,PYME,202094.2,120,703,137810,0.169,9.85,0,0
706431,2022-01-16,Retail,12261.61,48,642,52105,0.2,14.21,0,0
716502,2022-01-16,Retail,13572.94,60,778,24795,0.037,9.06,1,9109.1
715249,2022-01-16,Retail,10174.58,24,586,55818,0.406,17.68,1,1754.63
712253,2022-01-16,Retail,6163.71,36,397,91241,0.488,23.89,1,4215.09
716781,2022-01-16,PYME,175775.6,36,789,255407,0.039,7.19,0,0
702425,2022-01-16,PYME,95318.25,12,648,158310,0.233,15.04,0,0
719278,2022-01-16,Retail,9176.44,48,785,69503,0.1,5.47,0,0
710840,2022-01-16,PYME,470601.54,84,693,121672,0.144,10.74,0,0
713630,2022-01-16,Retail,8137.68,48,578,51419,0.199,14.52,0,0
717533,2022-01-16,Retail,7697.26,60,570,20436,0.318,16.81,0,0
701517,2022-01-16,Corporativo,539156.79,48,721,1697963,0.048,7.81,0,0
709827,2022-01-16,Retail,33262.66,120,682,53610,0.1,10.25,1,17076.4
712084,2022-01-17,PYME,63904.61,48,610,71727,0.219,15.46,0,0
708969,2022-01-17,Retail,8263.68,36,717,38725,0.163,8.87,0,0
710310,2022-01-17,Retail,7848.02,36,751,19148,0.197,8.1,0,0
710314,2022-01-17,PYME,74272.77,36,617,183811,0.409,15.38,0,0
716563,2022-01-17,Retail,23591.94,36,655,31987,0.157,12.3,1,8692.74
717687,2022-01-17,Retail,11994.77,84,744,76255,0.239,8.22,0,0
718276,2022-01-17,Retail,3966.17,48,762,81715,0.159,10.79,0,0
719342,2022-01-17,Retail,10528.13,60,671,44894,0.192,11.85,0,0
700568,2022-01-17,Retail,22437.37,84,727,22381,0.14,9.24,0,0
700941,2022-01-17,PYME,36722.98,36,795,78080,0.19,5.93,0,0
710749,2022-01-17,Retail,24177.11,36,701,57532,0.02,8.72,0,0
717132,2022-01-17,Corporativo,152833.79,48,654,1790781,0.141,11.3,1,119571.74
706006,2022-01-17,PYME,25892.17,36,661,253574,0.105,13.02,0,0
700651,2022-01-17,PYME,39338.68,36,708,199763,0.282,10.5,1,38551.91
710610,2022-01-17,Retail,4646.14,48,717,63064,0.207,10.64,0,0
705447,2022-01-17,Retail,9240.27,36,773,56616,0.132,9.01,0,0
719049,2022-01-17,Retail,11441.26,36,587,34830,0.133,14.82,0,0
713079,2022-01-17,Corporativo,202141.17,36,818,2466533,0.096,4.46,0,0
719912,2022-01-17,Retail,12508.83,36,796,50763,0.109,8.33,0,0
714011,2022-01-18,Retail,10958.97,48,585,31567,0.213,16.86,0,0
708295,2022-01-18,Retail,16273.66,48,510,32698,0.346,19.4,0,0
703398,2022-01-18,PYME,61869.78,36,698,253380,0.116,11.13,0,0
719801,2022-01-18,Retail,7012.24,24,850,60072,0.02,4.25,0,0
704883,2022-01-18,Retail,7698.94,48,778,43844,0.096,8.77,0,0
706041,2022-01-18,Retail,26915.98,24,719,40464,0.173,12.12,0,0
716691,2022-01-18,PYME,68645.62,60,742,95933,0.22,10.02,0,0
704629,2022-01-18,Retail,27668.89,24,735,75068,0.036,9.88,0,0
711364,2022-01-18,PYME,79170.09,48,638,66837,0.232,14.06,0,0
705606,2022-01-18,Retail,10640.5,36,644,56762,0.368,14.69,1,3326.65
700020,2022-01-18,PYME,327262.35,12,620,116881,0.356,15.59,0,0
719319,2022-01-18,Retail,10541.48,36,699,47893,0.072,10.44,0,0
706674,2022-01-18,PYME,11155.06,48,628,151618,0.331,13.04,1,2017.59
718603,2022-01-18,PYME,22952.77,36,610,218070,0.265,14.67,1,13667.76
715385,2022-01-18,Retail,65056.06,36,600,83321,0.213,13.28,0,0
718561,2022-01-18,PYME,79766.25,60,631,129271,0.434,15.91,1,17439.5
704519,2022-01-18,Retail,10729.07,36,696,67673,0.313,12.11,0,0
714085,2022-01-19,Retail,4892.1,36,662,38291,0.209,13.4,1,2712.32
702121,2022-01-19,Retail,15824.64,36,636,49388,0.274,13.48,1,6699.31
701188,2022-01-19,Retail,7460.89,84,727,43269,0.033,9.84,0,0
707992,2022-01-19,Retail,11168.27,24,597,28073,0.249,17.37,0,0
700383,2022-01-19,Retail,14284.29,84,668,68870,0.286,14.73,0,0
708663,2022-01-19,Corporativo,611212.47,48,686,1110694,0.288,11.09,0,0
711000,2022-01-19,PYME,116942.99,24,616,123567,0.257,14.02,0,0
718827,2022-01-19,Retail,10917.23,120,629,24761,0.42,14.33,1,5136.39
719809,2022-01-19,Retail,6840.07,48,676,110683,0.124,12.04,1,2180.32
716747,2022-01-19,Corporativo,579554.69,24,786,2582540,0.215,7.85,0,0
703831,2022-01-19,PYME,42051.72,60,725,190768,0.336,11.45,0,0
706984,2022-01-19,Retail,11354.98,12,825,46335,0.204,7.44,0,0
700473,2022-01-19,Retail,17075.22,84,804,26711,0.185,7.81,0,0
708618,2022-01-19,Retail,45166.51,120,675,14672,0.123,9.73,0,0
713069,2022-01-19,PYME,80731.79,24,690,93225,0.054,10.81,0,0
718495,2022-01-19,PYME,44906.66,84,721,63947,0.094,10.89,0,0
714942,2022-01-19,PYME,76764.34,36,692,101049,0.165,12.42,1,19928.05
716023,2022-01-19,PYME,272473.16,12,803,147313,0.268,9.72,0,0
716902,2022-01-19,Retail,9835.7,60,761,23511,0.077,9.63,0,0
713994,2022-01-19,Retail,14058.06,36,688,23330,0.269,12.56,1,9275.85
710280,2022-01-20,PYME,93309.29,48,699,143750,0.182,11.57,0,0
704498,2022-01-20,PYME,43874.27,12,760,144381,0.102,8.17,0,0
709363,2022-01-20,Retail,7801.21,60,631,59783,0.241,11.56,0,0
707820,2022-01-20,PYME,51094.92,60,653,138672,0.02,12.52,0,0
713739,2022-01-20,PYME,77704.45,12,675,73986,0.1,11.79,1,24034.31
703101,2022-01-20,Retail,6794.85,60,774,37847,0.166,7.45,0,0
715329,2022-01-20,Retail,12862.58,84,659,47706,0.122,12.52,0,0
718817,2022-01-20,Retail,22918.35,84,686,62460,0.181,10.59,0,0
701529,2022-01-20,Retail,11108.96,84,676,23985,0.174,11.44,0,0
706359,2022-01-20,Retail,30584.8,24,628,14854,0.15,11.87,0,0
